CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
92418;Fullcarga;EDUARDO PATRICIO LORCA AVILES;LOS MARROQUINEROS  6435;PEÑALOLEN;;354518;6291453;-70.566303;-33.506584
92423;Fullcarga;BAZAR LA ABUELY;DURANGO 3965;CONCHALI;;344705;6304133;-70.6697025396825;-33.390760079365
92431;Fullcarga;MARIA SANTANDER ALBILLAR;LOS CEREZOS  6016;PEÑALOLEN;;353677;6291283;-70.5753574806201;-33.5078819573643
92433;Fullcarga;ESTER DEL CARMEN CASTILLO ALVAREZ;MARIA 6593;LA CISTERNA;;346565;6289934;-70.652147;-33.519166
92442;Fullcarga;FRUTOS DEL PAIS BJ;ICTINOS 1338;PEÑALOLEN;;354909;6295675;-70.5613916666666;-33.46845
92443;Fullcarga;SANTA BEATRIZ;ZAPADORES  1219;CONCHALI;;345734;6304611;-70.6585616666666;-33.3866022499999
92446;Fullcarga;PANAMTUR LAS CONDES;AVDA APOQUINDO 5701;LAS CONDES;;354040;6302196;-70.57043525;-33.40982503
92452;Fullcarga;COM MATIAS;AVDA INDEPENDENCIA  3389;CONCHALI;;344700;6303485;-70.67072311;-33.3970818
92453;Fullcarga;MANOLITO CONCHALI;CALLE 7 DE NOVIEMBRE  5350 ;CONCHALI;;343035;6305357;-70.6874467875073;-33.3796026917746
92458;Fullcarga;TEXTIL GRECIA PENALOLEN;AVDA CONSISTORIAL  1380 ;PEÑALOLEN;;356843;6295459;-70.541216463581;-33.4709257404936
92461;Fullcarga;SAVE SHOP;APOQUINDO  4574;LAS CONDES;;352936;6301812;-70.5821839843709;-33.4132521284663
92462;Fullcarga;EL BEBE CONCHALI;CALLE STA. INES 2291;CONCHALI;;344056;6303464;-70.676791047619;-33.3967021666666
92464;Fullcarga;ISABEL ROSA MARTINEZ  HERAS;PSJE MADRID  1230-A;CONCHALI;;345736;6304729;-70.65927705;-33.38582982
92466;Fullcarga;L - L PENALOLEN;ALEJANDRO SEPULVEDA 2299;PEÑALOLEN;;354475;6294943;-70.5661849075246;-33.4751055308047
92468;Fullcarga;PUNTO BIP YOLANDA;AVDA CRISTOBAL COLON  5971;LAS CONDES;;354503;6301422;-70.5655881058626;-33.4169983133054
92469;Fullcarga;WILY PENALOLEN;CALLE VOLCAN TINZOR ( LINZOR)  8845 ;PEÑALOLEN;;357160;6296171;-70.53785942;-33.46456986
92471;Fullcarga;PAZ ANGELICA SAN MARTIN CUADRA;CALLE LOS BAQUEANOS  9685 ;PEÑALOLEN;;357780;6295161;-70.53123952;-33.47381534
92473;Fullcarga;BAZAR MI LELA CONCHALI;CALLE EMPERADOR  2921 ;CONCHALI;;342572;6305624;-70.69312466;-33.37729775
92475;Fullcarga;CALL SERVICE CONCHALI;RENGIFO 1802;CONCHALI;;343486;6305266;-70.68318474;-33.38073637
92477;Fullcarga;CANTA GALLO PENALOLEN;CALLE LAGO YULTAN  1381 ;PEÑALOLEN;;356711;6295461;-70.54279676;-33.47091592
92480;Fullcarga;EL RINCON DE MASCOTAS PEN;AVDA GRECIA 7968;PEÑALOLEN;;356102;6295072;-70.54941634;-33.47434077
92484;Fullcarga;CHIQUITA PENALOLEN;CALLE LAS PARCELAS 8345;PEÑALOLEN;;356554;6295431;-70.5444954;-33.47123863
92485;Fullcarga;MARCELITA PENALOLEN;LOS  ORIENTALES   7239 ;PEÑALOLEN;;355478;6295715;-70.55602087;-33.46845785
92486;Fullcarga;MINIMARKET ELIZABETH PENA;QUEBRADA DE SUCA  1398;PEÑALOLEN;;357120;6295390;-70.538411;-33.47160613
92487;Fullcarga;PAOLITA CONCHALI;BARON DE JURAS REALES  3586;CONCHALI;;343878;6303414;-70.67947461;-33.39741177
92489;Fullcarga;LUIS VERGARA CONCHALI;CALLE ASUNCION  2062-A;CONCHALI;;343036;6306548;-70.68797622;-33.36903063
92490;Fullcarga;EL BUFON;AVDA LAS CONDES  9350 ;LAS CONDES;;356701;6304402;-70.541292017285;-33.3904076512419
92494;Fullcarga;EL JUANITO PENALOLEN;CALLE LOS PIUQUENES  9877 ;PEÑALOLEN;;357903;6294856;-70.53007244;-33.47652161
92496;Fullcarga;DANIA;CALLE LAS PARCELAS  9242 - A;PEÑALOLEN;;357363;6295275;-70.535796332774;-33.4726629518307
92500;Fullcarga;GANADERA DEL SUR PEÑALOLEN;EL VALLE 6482;PEÑALOLEN;;354475;6294637;-70.56623216;-33.47775555
92501;Fullcarga;PAUL HARRIS;AVDA CRISTOBAL COLON  9193 ;LAS CONDES;;357414;6301539;-70.53416241;-33.4163188
92504;Fullcarga;SAN LUIS;CALLE 117 1141 ;PEÑALOLEN;;355784;6295710;-70.55269043;-33.46866248
92505;Fullcarga;LOS VIÑEDOS DEL CON PENA;CONSISTORIAL 5340;PEÑALOLEN;;355990;6292742;-70.55099674;-33.49532933
92508;Fullcarga;MONICA MORENO VEGA LAS CO;CALLE FLORENCIO BARROS  1685 ;LAS CONDES;;355732;6300459;-70.55240943;-33.42571945
92511;Fullcarga;THE GIFT LTDA;CALLE CERRO EL PLOMO 5630  LOCAL 203 5630 ;LAS CONDES;;353745;6302684;-70.5733389812074;-33.4053530760025
92516;Fullcarga;LA JUANITA;CHEPICA 3863;CONCHALI;;344943;6304618;-70.66781437;-33.38671146
92518;Fullcarga;ERBI - LAS CONDES (SANTA ZITA);VIA LACTEA 9130;LAS CONDES;;357396;6300489;-70.53459384;-33.42567823
92520;Fullcarga;BRUJITAS FIESTAS;AVDA GRAL. GAMBINO  4141;CONCHALI;;345533;6304939;-70.6606648263889;-33.3836175694444
92521;Fullcarga;PESCADERIA PUERTO COLON L;AVDA SEBASTIAN ELCANO 1033;LAS CONDES;;354008;6300687;-70.57084341026352;-33.4235422561287
92522;Fullcarga;VERDULERIA;VIOLETA PARRA  2155;PEÑALOLEN;;358126;6294281;-70.5269983645582;-33.4814503001664
92523;Fullcarga;BEATRIZ VILLALOBOS;AVDA CARD. JOSE MARIA CARO  1814 ;CONCHALI;;343407;6306039;-70.683318084577;-33.3733936567164
92525;Fullcarga;LA ABUELITA;AVDA EL PARQUE  901;PEÑALOLEN;;358264;6295506;-70.5253236666666;-33.4704205833333
92528;Fullcarga;VIANAVAN PENALOLEN;AVDA EL ACUEDUCTO 1969;PEÑALOLEN;;357179;6294728;-70.53767601;-33.47788311
92530;Fullcarga;DON ELIAS PENALOLEN;EL ABANICO 2095;PEÑALOLEN;;357716;6294462;-70.531394;-33.479875
92531;Fullcarga;KIOSCO BIP MANQUEHUE;LATADIA ESQUINA MANQUEHUE S/N KIOSCO S/N;LAS CONDES;;354644;6300281;-70.564526;-33.427428
92532;Fullcarga;DONDE JAIME PENALOLEN;LAGO YULTAN 1271;PEÑALOLEN;;356738;6295576;-70.54249311;-33.46987635
92541;Fullcarga;ABARROTES LA PLAZA MACUL;CALLE LAGO PARINACOTA 3716 LOCAL C;MACUL;;352020;6294804;-70.593329179317;-33.4768447505356
92547;Fullcarga;AMASANDERIA JOEL;LO OVALLE 215;SAN JOAQUIN;;349551;6290523;-70.6207596520796;-33.514501278442
92548;Fullcarga;L - L MACUL;CALLE RAMON CRUZ MONTT  2525;MACUL;;352971;6294540;-70.58307218;-33.4786492
92555;Fullcarga;RODRIGO PENALOLEN;EL VALLE 6046;PEÑALOLEN;;353822;6294880;-70.5737876582428;-33.4758756149447
92556;Fullcarga;EL VICHITO PENALOLEN;PASAJE N  1718;PEÑALOLEN;;357356;6294940;-70.5351767518369;-33.4754036732647
92558;Fullcarga;LAS DELICIAS CONCHALI;AVDA  PALMILLA 3601 ;CONCHALI;;344990;6303759;-70.66746674;-33.39446815
92560;Fullcarga;ERNA ASEM CONCHALI; EL GRANITO  1232;CONCHALI;;345072;6305808;-70.66622983;-33.37599934
92565;Fullcarga;BAZAR CERRILLOS;AVDA. PEDRO AGUIRRE CERDA  6069;CERRILLOS;;341679;6292728;-70.70480435;-33.49354925
92570;Fullcarga;EL RORO;COOPERACION 5930;PEDRO AGUIRRE CERDA;;343525;6292128;-70.6844736486486;-33.4988231981981
92571;Fullcarga;MARCELO;PORTO ALEGRE 12931;LA PINTANA;;347882;6282829;-70.639165653033;-33.583296354473
92574;Fullcarga;PUELMAPU PENALOLEN;CALLE LOS BAQUEANOS  9815 ;PEÑALOLEN;;357894;6295126;-70.53012206;-33.47408761
92575;Fullcarga;LA CENTRAL PENALOLEN;LOS  ORIENTALES  7335 ;PEÑALOLEN;;355572;6295685;-70.55501668;-33.46873947
92583;Fullcarga;LA BUENA CARNE;AVDA EL SALTO   2635;RECOLETA;;348393;6302881;-70.63103636;-33.40287041
92584;Fullcarga;ANDRES;COYHAIQUE 1783;RENCA;;339627;6303508;-70.7243831554872;-33.3956522725229
92585;Fullcarga;ALBERTO BRITO MARTINEZ RE;CALLE DARDIGNAC  537;RECOLETA;;346974;6299653;-70.64684051;-33.43177259
92588;Fullcarga;ESTABLEC. LA GELATTA RECO;AVDA LOS ZAPADORES  576 ;RECOLETA;;349159;6303371;-70.64117437;-33.39127621
92618;Fullcarga;ABSA;CALLE GAMERO  1502 B;INDEPENDENCIA;;345886;6300856;-70.65833243;-33.42076335
92622;Fullcarga;LILY LA CISTERNA;SANTA ANSELMA 0291;LA CISTERNA;;345278;6288668;-70.66620895833333;-33.53027854166666
92624;Fullcarga;PROVISIONES TIARA;DOMINGO SANTA MARIA 2542;INDEPENDENCIA;;344039;6301515;-70.67731558951017;-33.41438488240689
92625;Fullcarga;BAZAR KITTY;CALLE ALC. GERMAN DOMINGUEZ  1096;INDEPENDENCIA;;344312;6301391;-70.67501747;-33.41571486
92630;Fullcarga;LOS ARCOS;AVDA ELIAS FERNANDEZ ALBANO  587 ;LA CISTERNA;;346433;6289313;-70.65442551;-33.52491715
92631;Fullcarga;MANOLO;CALLE NVA. DE MATTE   2740;INDEPENDENCIA;;344351;6302104;-70.67385513257577;-33.409002398863635
92633;Fullcarga;ISA INDEPENDENCIA;CALLE PADRE FAUSTINO GAZZIERO  2501 ;INDEPENDENCIA;;344761;6301812;-70.67026177;-33.41198767
92637;Fullcarga;MINIMARKET NENITA RECOLET;PSJE PERNAS  1185 ;RECOLETA;;346052;6305156;-70.65580694;-33.38202303
92647;Fullcarga;BOTILLERIA SAN ESTEBAN;CALLE JUAN CRISTOBAL  4030 ;RECOLETA;;346625;6304883;-70.64969712;-33.38456171
92648;Fullcarga;ZEUS RENCA;ZEUS 1190 ;RENCA;;338193;6302270;-70.740582;-33.406869
92650;Fullcarga;ALI ALE RENCA;CHAPIQUINA 949;RENCA;;338659;6301825;-70.73584924;-33.4109678
92651;Fullcarga;LEAL LA CISTERNA;AVDA EL PARRON   0281;LA CISTERNA;;345458;6289213;-70.66417614097969;-33.52538531302271
92652;Fullcarga;PUNTO BIP DONDE JORGE;PSJE LAGUNAS  935 ;RENCA;;338424;6301812;-70.73838029;-33.411053
92653;Fullcarga;EL TREBOL RECOLETA;LORETO  269 ;RECOLETA;;347420;6299788;-70.6418728192041;-33.4305998904279
92655;Fullcarga;BRASIL;BRASIL 998;RENCA;;337613;6303088;-70.74512567;-33.40013022
92659;Fullcarga;CASSETERIA CENTER;GRAN AVENIDA JOSE MIGUEL CARRERA 6563 C4;LA CISTERNA;;345856;6290150;-70.65973021161378;-33.51699489417991
92661;Fullcarga;RIDENVAN RENCA;SALAR 6572;RENCA;;338390;6302155;-70.73868246;-33.40795335
92662;Fullcarga;LA ESQUINA ;AVENIDA INDEPENDENCIA 2998;INDEPENDENCIA;;344868;6303160;-70.66811933333335;-33.399556166666656
92663;Fullcarga;PERCHI DIGITAL CENTER;AVDA FERMIN VIVACETA  1203;INDEPENDENCIA;;345294;6301294;-70.663865;-33.416554
92673;Fullcarga;RAUL Y XIMENA RECOLETA;CALLE SANTOS DUMONT  458 ;RECOLETA;;347331;6300686;-70.6428172;-33.42250436
92676;Fullcarga;MINIMARKET MARIO RECOLETA;ARZOBISPO VALDIVIESO   0751;RECOLETA;;348688;6301945;-70.62801878;-33.41134319
92679;Fullcarga;DISTRIBUIDORA MARCEL;CALLE ARTESANOS  883 ;RECOLETA;;346539;6299723;-70.6514816944121;-33.4310600567954
92680;Fullcarga;SANTA ELVIRA RECOLETA;AVDA RECOLETA   2841;RECOLETA;;347288;6303125;-70.64269701;-33.40066215
